Simbolo;Nombre;Sector;Industria
AAPL;Apple Inc.;Tecnologia;Fabricacion de ordenadores
MSFT;Microsoft Corporation;Tecnologia;Programas informaticos: Software preempaquetado
GOOG;Alphabet Inc.;Tecnologia;Servicios de Internet e informacion
GOOGL;Alphabet Inc.;Tecnologia;Servicios de Internet e informacion
AMZN;Amazon.com, Inc.;Servicios al consumidor;Distribucion por catalogo/especializada
TSLA;Tesla, Inc.;Bienes de capital;Fabricacion de automoviles
NVDA;NVIDIA Corporation;Tecnologia;Semiconductores
TSM;Taiwan Semiconductor Manufacturing Company Ltd.;Tecnologia;Semiconductores
META;Meta Platforms, Inc.;Tecnologia;Servicios de Internet e informacion
UNH;UnitedHealth Group Incorporated;Sanidad;Especialidades medicas
JNJ;Johnson & Johnson;Sanidad;Biotecnologia Preparados Farmaceuticos
V;Visa Inc.;Varios;Servicios a empresas
WMT;Walmart Inc.;Servicios al consumidor;Grandes almacenes/tiendas especializadas
JPM;JP Morgan Chase & Co.;Finanzas;Grandes bancos
XOM;Exxon Mobil Corporation;Energia;Produccion de petroleo y gas
BAC;Bank of America Corporation;Finanzas;Grandes bancos
PG;Procter & Gamble Company;Bienes de consumo no duraderos;Productos envasados/Cosmeticos
CVX;Chevron Corporation;Energia;Compañias petroleras integradas
HD;Home Depot, Inc.;Servicios al consumidor;COMERCIO AL POR MENOR: Materiales de construccion
MA;Mastercard Incorporated;Varios;Servicios a empresas
PFE;Pfizer, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
ABBV;AbbVie Inc.;Sanidad;Otros Farmaceuticos
LLY;Eli Lilly and Company;Sanidad;Biotecnologia Preparados Farmaceuticos
KO;Coca-Cola Company;Bienes de consumo no duraderos;Bebidas (Produccion/Distribucion)
DIS;Walt Disney Company;Servicios al consumidor;Cine/Entretenimiento
AVGO;Broadcom Inc.;Tecnologia;Semiconductores
COST;Costco Wholesale Corporation;Servicios al consumidor;Grandes almacenes/tiendas especializadas
BABA;Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share;Servicios al consumidor;Distribucion por catalogo/especializada
NVO;Novo Nordisk A/S;Sanidad;Biotecnologia Preparados Farmaceuticos
CSCO;Cisco Systems, Inc.;Tecnologia;Equipos perifericos de ordenador
VZ;Verizon Communications Inc.;Servicios publicos;Equipos de telecomunicaciones
TM;Toyota Motor Corporation;Bienes de capital;Fabricacion de automoviles
PEP;PepsiCo, Inc.;Bienes de consumo no duraderos;Bebidas (Produccion/Distribucion)
NTES;NetEase, Inc. American Depositary Shares;Varios;Servicios a empresas
ORCL;Oracle Corporation;Tecnologia;Programas informaticos: Software preempaquetado
TMO;Thermo Fisher Scientific Inc;Bienes de capital;Biotecnologia Instrumentos analiticos de laboratorio
CMCSA;Comcast Corporation;Servicios al consumidor;Servicios de television
ABT;Abbott Laboratories;Sanidad;Instrumentos medicos/odontologicos
MRK;Merck & Company, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
ACN;Accenture plc Ordinary Shares;Tecnologia;Servicios EDP
ADBE;Adobe Inc.;Tecnologia;Programas informaticos: Software preempaquetado
CRM;Salesforce.com Inc;Tecnologia;Programas informaticos: Software preempaquetado
NKE;Nike, Inc.;Bienes de consumo no duraderos;Fabricacion de calzado
SHEL;Royal Dutch Shell PLC American Depositary Shares;Energia;Produccion de petroleo y gas
DHR;Danaher Corporation;Sanidad;Especialidades medicas
AZN;AstraZeneca PLC American Depositary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
INTC;Intel Corporation;Tecnologia;Semiconductores
WFC;Wells Fargo & Company;Finanzas;Grandes bancos
NVS;Novartis AG;Sanidad;Biotecnologia Preparados Farmaceuticos
UPS;United Parcel Service, Inc.;Transporte;Servicios de transporte aereo
BHP;BHP Group Limited American Depositary Shares;Industrias basicas;Metales preciosos
QCOM;QUALCOMM Incorporated;Tecnologia;Equipos perifericos de ordenador
AMD;Advanced Micro Devices, Inc.;Tecnologia;Semiconductores
MCD;McDonald's Corporation;Servicios al consumidor;Restaurantes
UNP;Union Pacific Corporation;Transporte;Ferrocarriles
T;AT&T Inc.;Servicios al consumidor;Equipos de telecomunicaciones
TXN;Texas Instruments Incorporated;Tecnologia;Semiconductores
NEE;NextEra Energy, Inc.;Servicios publicos;Compañias electricas: Central
TMUS;T-Mobile US, Inc.;Servicios publicos;Equipos de telecomunicaciones
RY;Royal Bank Of Canada;NO APLICABLE;NO DISPONIBLE
SCHW;Charles Schwab Corporation;Finanzas;Banqueros/corredores/servicios de inversion
MS;Morgan Stanley;Finanzas;Banqueros/corredores/servicios de inversion
NFLX;Netflix, Inc.;Servicios al consumidor;Cine/Entretenimiento
BMY;Bristol-Myers Squibb Company;Sanidad;Biotecnologia Preparados Farmaceuticos
LOW;Lowe's Companies, Inc.;Servicios al consumidor;COMERCIO AL POR MENOR: Materiales de construccion
RTX;Raytheon Technologies Corporation;Bienes de capital;Militar/Gubernamental/Tecnico
LIN;Linde plc Ordinary Share;Industrias basicas;Grandes empresas quimicas
TD;Toronto Dominion Bank;NO APLICABLE;NO DISPONIBLE
MDT;Medtronic plc. Ordinary Shares;Sanidad;Biotecnologia Aparatos electromedicos y electroterapeuticos
PM;Philip Morris International Inc;Bienes de consumo no duraderos;Agricultura/Semillas/Molineria
CVS;CVS Health Corporation;Sanidad;Atencion sanitaria gestionada
SPGI;S&P Global Inc.;Tecnologia;Publicidad
TTE;TotalEnergies SE;Energia;Produccion de petroleo y gas
COP;ConocoPhillips;Energia;Compañias petroleras integradas
AXP;American Express Company;Finanzas;Finanzas Servicios al consumidor
AMGN;Amgen Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
SAP;SAP SE ADS;Tecnologia;Programas informaticos: Software preempaquetado
SNY;Sanofi ADS;Sanidad;Biotecnologia Preparados Farmaceuticos
HSBC;HSBC Holdings, plc.;Finanzas;Instituciones de ahorro
HON;Honeywell International Inc.;NO APLICABLE;NO DISPONIBLE
INTU;Intuit Inc.;Tecnologia;Programas informaticos: Software preempaquetado
SONY;Sony Group Corporation American Depositary Shares;Bienes de consumo no duraderos;Electronica de consumo y electrodomesticos
LMT;Lockheed Martin Corporation;Bienes de capital;Aeroespacial
DE;Deere & Company;Bienes de capital;Maquinaria industrial/Componentes
RIO;Rio Tinto Plc;Industrias basicas;Acero/Minerales de hierro
CAT;Caterpillar, Inc.;Bienes de capital;Construccion/Equipos agricolas/Camiones
CHTR;Charter Communications, Inc. New;Servicios al consumidor;Servicios de television
UL;Unilever PLC;Bienes de consumo no duraderos;Agricultura/Semillas/Molineria
PYPL;PayPal Holdings, Inc.;Varios;Servicios a empresas
ANTM;Anthem, Inc.;Sanidad;Especialidades medicas
IBM;International Business Machines Corporation;Tecnologia;Servicios EDP
GS;Goldman Sachs Group, Inc.;Finanzas;Banqueros/corredores/servicios de inversion
PLD;Prologis, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
